"cpv_puhas";"eeldatav_maksumus_puhas";"lepingu_maksumus_puhas";"tegelik_maksumus_puhas";"kestvus_kuudes"
"72262000-9";NA;NA;NA;12
"73110000-6";NA;37909;37909;5
"39100000-3";125000;108961.16;108961.16;5
"79111000-5";NA;50000;44248.05;12
"39700000-9";130000;129238.2;129238.2;5
"79311200-9";NA;NA;NA;5
"37440000-4";NA;14020;14020;2
"73110000-6";NA;26500;26500;6
"45215215-7";5e+05;489334.86;332896.79;10
"72253200-5";NA;22297;22297;36
"71521000-6";NA;7920;7920;12
NA;NA;NA;NA;NA
"45222200-1";NA;5394658.05;5333373.26;12
"71620000-0";NA;26320;26320;4
"73100000-3";NA;21682;21682;6
"64210000-1";132000;132000;NA;24
"72212517-6";39999;40000;10112.6;20
"32232000-8";NA;26340;NA;60
"72261000-2";NA;13936.24;13936.24;12
"72260000-5";720000;674610;NA;36
"92111200-4";NA;15600;20263.4;2
"72262000-9";NA;97200;NA;21
"45261000-4";NA;NA;NA;3
"45233120-6";NA;1521444.28;1484089.2;7
"48311100-2";NA;35013.6;35013.6;1
"92111260-2";NA;14800;14800;1
"73210000-7";27500;NA;NA;8
"79212000-3";NA;28836;28836;6
"30233132-5";NA;18497.6;18497.6;1
"79311200-9";NA;39812.64;39812.64;12
"90910000-9";135000;160018;NA;39
"72261000-2";NA;28461.26;28461.26;12
"63510000-7";130000;130000;NA;24
"64214100-0";NA;36000;NA;37
"92111200-4";NA;37724;37724;1
NA;NA;NA;NA;NA
"45453100-8";50000;50000;52796;7
"30197000-6";40000;39999;38505.34;24
"79810000-5";NA;12797.6;12596.01;1
"45215215-7";1090000;973231.62;973231.62;10
"80400000-8";NA;33327;33227.55;6
"34144710-8";NA;425200;425200;7
"79800000-2";NA;13100;12576;20
"79800000-2";NA;6270;6897;2
"30200000-1";NA;57974;57974;61
"75112000-4";NA;41666.67;41666.67;9
"71222000-0";NA;12180;12180;1
"72260000-5";120000;120000;NA;36
"79100000-5";NA;30000;4258.2;13
"98392000-7";72800;72800;38696.6;12
"45200000-9";120000;68219.1;82828.4;6
"92400000-5";NA;24093.12;22279.5;24
"45222000-9";NA;285888.93;285814.13;6
"73110000-6";25000;23600;23600;4
"73110000-6";NA;35400;35400;9
"37440000-4";NA;NA;NA;2
"72253200-5";NA;52752;NA;24
"80400000-8";NA;53525;53525;7
"72260000-5";NA;22400;NA;48
"30200000-1";NA;124120;124120;3
"55100000-1";NA;3029.15;52168.64;12
"64110000-0";242000;NA;NA;12
NA;NA;NA;NA;NA
"43200000-5";NA;462870;462871;8
"34221000-2";NA;230270.45;230270.45;4
"39130000-2";36000;36000;NA;36
"71220000-6";NA;64500;64500;12
"80430000-7";NA;42607.5;42607.5;9
"80400000-8";NA;22744;22560;7
"80400000-8";NA;38240.7;38236.76;7
"72267000-4";129900;NA;NA;12
"75110000-0";NA;117150;117150;10
"73110000-6";NA;28500;28500;8
"73110000-6";115200;99480;99480;16
"85147000-1";NA;16000;19638.99;24
"72221000-0";94000;93960;93960;7
"79200000-6";NA;108240;NA;24
"39112000-0";NA;7700;7700;3
"64210000-1";NA;4466.88;NA;24
"79311200-9";NA;11000;11000;6
"79952000-2";NA;20200.95;19951;1
