"cpv_puhas";"eeldatav_maksumus_puhas";"lepingu_maksumus_puhas";"tegelik_maksumus_puhas";"kestvus_kuudes"
"73200000-4";NA;12000;NA;17
"73110000-6";NA;10560;10560;2
"39150000-8";NA;30760;30760;1
"90715100-3";39960;39960;39960;12
"72245000-4";NA;16058;16058;3
"45200000-9";NA;1931732.3;1931732.3;10
"79341000-6";NA;14219.1;14219.1;3
"70332000-7";NA;18392;18549.8;19
"80500000-9";NA;15000;15000;11
"73200000-4";NA;30000;30000;2
"79311400-1";NA;7886;7886;2
"70332000-7";NA;126344;108518.75;24
"72200000-7";120000;197599;197599;3
"30123000-7";125000;150000;170148.45;36
"90742400-4";28000;28000;36400;9
"34111100-9";NA;NA;NA;NA
"34110000-1";NA;30348.72;30568.45;36
"64212000-5";NA;75000;85718.78;24
"33651400-2";NA;38400;38400;0
"45215215-7";2782500;2027432.34;1040017.92;10
"48214000-1";NA;33158;33158;13
"72262000-9";NA;122850;55680;24
"72260000-5";NA;6285;6285;36
"66512200-4";80000;80592;82673.44;12
"73110000-6";NA;39726.95;39726.95;7
"71242000-6";NA;24500;24500;9
"71222100-1";NA;16700;16700;13
"72250000-2";NA;3600;3600;1
"30200000-1";11507.96;11507.96;11668.98;12
"42512000-8";NA;13000;NA;63
"72000000-5";NA;NA;NA;NA
"30197600-2";90000;80388;49040.87;24
"48900000-7";NA;NA;NA;36
"48900000-7";NA;NA;NA;36
"71520000-9";NA;126862;274362;13
"45314300-4";NA;8683.9;24549.14;38
"71241000-9";NA;14916.67;14916.67;3
"45262700-8";NA;26736.17;26736.17;2
"79100000-5";NA;124051.2;124051.2;21
"92400000-5";NA;8901;8901;9
"90919200-4";NA;65703.84;65703.84;24
"33651300-1";NA;53270;53270;6
"34110000-1";NA;413728.16;NA;60
"72222300-0";255000;255000;158959.6;36
"79341400-0";NA;NA;NA;23
"90510000-5";NA;873495.9;754157;12
"45200000-9";NA;4050234;5145640.04;13
"30236000-2";NA;22860;22860;1
"73300000-5";NA;32600;32600;12
"48310000-4";NA;117681.2;117681.2;2
"73300000-5";NA;10644;10644;3
"72267000-4";NA;11997;5565;18
"73110000-6";33657;30729;30729;5
"48710000-8";NA;154538;147377.46;36
"72262000-9";NA;1135000;1122365.76;36
"72223000-4";NA;NA;NA;36
"33651400-2";NA;38290.5;38290.5;0
"79530000-8";NA;46667;44141.75;48
"73110000-6";NA;NA;NA;13
"72261000-2";20000;25292.4;21077;36
"71240000-2";650000;758485;140780;10
"33650000-1";NA;107778;107778;0
"72262000-9";24288;24288;24288;3
"92400000-5";NA;NA;NA;9
"72212443-6";12500;10208;10208;3
"79710000-4";NA;74341.8;74341.8;36
"33760000-5";12782.33;12782.33;8392.4;24
"48621000-7";NA;39872.5;39872.5;0
"71330000-0";NA;13550;13550;3
"79820000-8";NA;19770;17074;13
"72262000-9";NA;NA;NA;36
"72250000-2";NA;18720;20113;11
"79411000-8";NA;28870;31770;3
"73110000-6";NA;37250;37250;2
"34100000-8";NA;195461.28;166727.31;24
"34100000-8";NA;67193.9;65735.62;24
"34100000-8";NA;260650.32;253026.05;24
"34100000-8";NA;37647.36;35043.81;24
"34100000-8";NA;9200.5;9260.41;10
"73220000-0";14571.85;14571.85;14045;7
"73220000-0";12526.7;12526.7;10562.8;6
"73110000-6";NA;31620;31620;6
"80500000-9";16000;16000;16000;6
"73110000-6";NA;7860;7860;2
"73110000-6";NA;23000;23000;6
"73200000-4";NA;19972;19972;7
"34100000-8";NA;65321.28;NA;48
"72262000-9";NA;NA;NA;3
"30200000-1";NA;117766;117766;1
"33651400-2";NA;16665.14;16665.14;1
"33651300-1";NA;25678.38;25677.27;12
"15500000-3";NA;NA;NA;NA
"34100000-8";NA;999310.44;NA;60
"73000000-2";31956;29617;29617.5;4
"79311200-9";16718.33;16718.33;20062;4
"34113000-2";NA;39752.16;39752.16;48
"79311200-9";NA;53940;53940;9
"03212100-1";220000;42480;79408.04;24
"03221000-6";280000;55558.2;287922.76;12
"30200000-1";NA;NA;NA;1
"33650000-1";NA;118333.53;118333.53;1
"30232000-4";NA;42540;42540;0
"45215215-7";NA;1716199.77;1710449.75;10
"34110000-1";NA;34999.25;34999.25;48
"30121100-4";22191.84;22191.84;12104.64;45
"79341000-6";NA;37278.32;37278.32;1
"30121100-4";16175.4;16175.4;NA;63
"75110000-0";NA;9986;9986;12
"73000000-2";NA;23976;19980;6
"45213150-9";NA;468350.89;514719.71;7
"30232100-5";28920;18931;18931;2
"72415000-2";12605;12605;12605;12
"73100000-3";19000;15705;15705;4
"30213300-8";124900;124889.8;124889.8;2
"30210000-4";NA;40494;40494;12
"80500000-9";20218;20218;20218;8
"72262000-9";NA;38100;38100;4
"90911000-6";120000;120000;120000;48
"55100000-1";38000;38000;26179.69;12
"30236000-2";NA;76908;76908;0
"60410000-5";1.5e+07;1.8e+07;10178556;36
"72710000-0";NA;10447;10447;12
"72262000-9";NA;19173;17005;12
"71520000-9";NA;21384;21384;14
"71520000-9";NA;17340;11388;14
"71520000-9";NA;21945;19950;14
"72262000-9";124999;124999;104160;36
"73110000-6";NA;39090;39090;13
"72212490-0";1e+05;165000;165000;4
"72267000-4";12800;12800;12800;12
"79300000-7";NA;96909;96909;35
"30190000-7";28227.64;28227.64;28225.99;12
"39130000-2";19080.67;19080.67;5492.1;12
"80500000-9";11947;11947;11947;5
"73110000-6";NA;73500;73500;26
"72262000-9";NA;NA;NA;36
"72262000-9";NA;229030.56;190858.8;6
"32420000-3";60000;48388;NA;60
"72260000-5";NA;24180;24180;28
"34111200-0";160000;141830.76;133005.88;36
"50112000-3";220000;170917.12;124268;48
"09130000-9";250000;260000;149768;48
"80540000-1";NA;NA;NA;48
"72261000-2";NA;12997;12997;12
"90714500-0";NA;62952.5;62952.5;5
"09100000-0";25000;23000;18616.51;48
"73300000-5";NA;3749.86;3749.86;12
"72262000-9";NA;124060.44;124060.44;5
"72262000-9";NA;9900;9900;5
"34113000-2";NA;NA;NA;24
"73300000-5";NA;19828;15862.4;5
"98113000-8";NA;15978.33;15978.33;6
"72210000-0";NA;39900;39900;6
"34100000-8";NA;NA;NA;48
"72200000-7";NA;10200;10200;2
"48000000-8";NA;74099;74099;15
"03221000-6";NA;NA;NA;NA
"73110000-6";NA;29700;29700;3
"72250000-2";NA;39999;50351.73;24
"72200000-7";76560;153120;75752.4;24
"44115000-9";10651.94;10651.94;11894.36;24
"71520000-9";NA;54512;80216;10
"79212000-3";NA;28900;28900;22
"33735000-1";NA;13681.25;13681.25;0
"79411000-8";NA;18750;19025.55;5
"72212490-0";74563.33;74520;74520;5
"30213100-6";NA;55080;45900;36
"73300000-5";NA;50490.2;50490.2;7
"73110000-6";NA;21071;21071;6
"71310000-4";NA;18985;18985;5
"79340000-9";NA;72070;72070;5
"72250000-2";NA;36900;26280;24
"72262000-9";NA;30382;30382;2
"79300000-7";22030;22030;22030;6
"33650000-1";NA;95395.5;95395.5;0
"79820000-8";11500;11500;11500;6
"09100000-0";25000;NA;NA;48
"30230000-0";NA;16083.53;16083.53;9
"48820000-2";106687;113832;113832;2
"48900000-7";65000;35674.32;35674.32;36
"30236100-3";NA;26982;26982;1
"30232000-4";NA;34896;34896;0
"34111200-0";NA;14868.44;15309.33;36
"33651600-4";NA;1848655;1848613.7;19
"73300000-5";NA;524075.52;523852.21;44
"85100000-0";12782.33;12782.33;13930;25
"79341400-0";NA;24640;20820.73;11
"73110000-6";NA;45057.7;45057.7;7
"33651300-1";NA;118925;118925;5
"73110000-6";NA;186409.17;186409.17;4
"45200000-9";NA;1549194;1625607.08;10
"73300000-5";NA;2236907.8;2236906.95;45
"90731400-4";NA;61681;61681;12
"33651620-0";NA;1e+05;1e+05;1
"73200000-4";NA;14060.56;14060.56;4
"79100000-5";NA;72804.78;72804.75;12
"72262000-9";NA;19955;19955;1
"72260000-5";NA;10550;10550;3
"34114400-3";NA;85898.5;NA;60
"80400000-8";NA;30418;28446.67;6
"48820000-2";NA;42000;42000;0
"45000000-7";NA;248410;248410;5
"48600000-4";NA;1740.2;1740.2;12
"35113400-3";NA;150310.45;147765.54;4
"55520000-1";NA;23773.24;23765.56;0
"72260000-5";NA;NA;NA;24
"71318000-0";NA;21560;21560;3
"80400000-8";NA;46622.65;45769.2;12
"30200000-1";NA;22741;22741;61
"79311200-9";38346.99;34568;34568;7
"79341400-0";NA;19816.9;19816.9;2
"63000000-9";19175;14404.62;17071.4;3
"60410000-5";23000;23000;17222.04;9
"72211000-7";NA;NA;NA;9
"72262000-9";NA;31878;31878;3
"79311200-9";NA;14550;14550;3
"72210000-0";NA;10816;10816;0
"72260000-5";20238.69;29400;29400;2
"34111200-0";NA;68863.04;58085.48;48
"22850000-3";NA;80383.62;69770.03;24
"79212110-7";19173.49;14680;14680;5
"79411000-8";NA;30400;30400;7
"73300000-5";NA;10930;10930;7
"22210000-5";50000;50000;41059.45;24
"30234100-9";NA;66510.8;NA;60
"30231100-8";62000;43519;NA;36
"34110000-1";NA;40220;40220;6
"72262000-9";NA;13316;13316;2
"64210000-1";NA;221438.4;248181.19;24
"71240000-2";NA;62580;60600;5
"71240000-2";NA;48510;48510;5
"34100000-8";NA;2979797.32;NA;60
"34111100-9";NA;20333;NA;60
"33651300-1";NA;38631.33;38631.33;1
"72262000-9";NA;38027.5;38027.5;8
"72262000-9";NA;24696.48;24696.48;6
"73210000-7";NA;17154;11824;2
"72262000-9";NA;NA;NA;18
"85312320-8";NA;1326;1145.52;10
"85312320-8";NA;24385.9;10048.74;10
"72224000-1";38346.99;34230;34205.55;21
"79713000-5";NA;491000;620619.49;49
"71240000-2";NA;15750;15750;2
"79212000-3";NA;10720;10720;26
"73110000-6";NA;9900;9900;3
"34100000-8";NA;NA;NA;60
"71240000-2";NA;10500;10400;3
"79530000-8";9970.22;9970.22;14127.41;12
"34110000-1";NA;NA;NA;6
"79212000-3";NA;14200;14200;3
"71220000-6";NA;29122.5;26990;1
"92111100-3";NA;40000;62364;11
"71240000-2";NA;20055;20055;3
"71240000-2";NA;19249.65;18333;9
"75222000-8";97784.88;97784.88;424034.05;12
"79320000-3";63900;63650;63650;11
"71240000-2";10651.94;12170;12170;2
"34960000-4";NA;105870;127044;8
"85000000-9";NA;20000;40000;12
"79200000-6";NA;14450;14450;2
"30213100-6";NA;26040;26040;0
"30200000-1";30000;30000;13448.06;12
"72200000-7";NA;NA;NA;48
"32322000-6";13500;11000;11000;12
"72810000-1";NA;13421.15;13421.15;2
"48811000-6";NA;40635;40365;36
"79341000-6";NA;12800;10363.55;11
"72262000-9";NA;11600;11600;5
"79212000-3";NA;10720;10720;26
"30213300-8";23000;17122.08;17122.08;48
"80400000-8";NA;47830.6;36835.51;9
"72210000-0";NA;107424;107424;10
"73300000-5";20132.17;20132.17;20132.17;12
"30213100-6";NA;NA;NA;1
"79212000-3";NA;39962.5;39962.5;6
"79300000-7";NA;NA;NA;6
"72262000-9";NA;135000;135000;16
"72000000-5";19174;14740;14740;4
"85312320-8";NA;17963;17775.56;10
"79212000-3";NA;18804;18804;28
"79212000-3";NA;10720;10720;26
"79311400-1";NA;37385;37385;16
"79300000-7";NA;83330;83330;6
"79300000-7";NA;NA;NA;6
"85312320-8";NA;9547.5;8070.15;10
"30213300-8";NA;NA;NA;48
"80500000-9";NA;18048;18048;9
"79823000-9";NA;25600;25435.59;48
"72222300-0";NA;NA;NA;48
"60410000-5";92000;92000;103459.33;12
"79212000-3";NA;16700;16700;27
"72262000-9";NA;4900;4900;2
"71520000-9";1e+05;18700;NA;12
"30213000-5";16205;16720;16720;1
"72240000-9";NA;23600;23600;3
"72200000-7";14827.5;14827.5;14827.5;2
"44618340-0";NA;NA;NA;NA
"72262000-9";NA;21762;21762;3
"72262000-9";NA;2534;2534;6
"79530000-8";NA;7500;7500;39
"73200000-4";NA;10225.86;10225.86;12
"72262000-9";NA;85980;85980;16
"72250000-2";NA;244940;244940;12
"34221000-2";NA;366170.81;366170.81;4
"79111000-5";71750;71750;71750;NA
"34110000-1";NA;53564.4;57572.69;54
"63515000-2";180000;2580000;4016208.66;48
"79311200-9";21050;21050;21050;NA
"72150000-1";5680.98;5680.98;5680.98;NA
"71315300-2";NA;17916;17916;12
"73200000-4";17831.32;17831.32;9248.25;NA
"45215215-7";NA;1325000;1325000;10
"71250000-5";60236;60236;59212.62;NA
"35113400-3";NA;NA;NA;NA
"71541000-2";19045;19045;19045;NA
"79300000-7";26075.95;26075.95;26075.95;NA
"45215215-7";NA;1611122;1525352.71;10
"71315300-2";NA;21147;21147;12
"72250000-2";125000;101184;84320;34
"72810000-1";13421.45;13421.45;NA;NA
"72261000-2";114269.3;114269.3;114269.3;NA
"72261000-2";49383.51;49383.51;49383.51;NA
"72261000-2";20558.27;20558.27;20558.27;NA
"79530000-8";12000;18000;16819.9;NA
"85300000-2";32544;32544;74580;NA
"30197600-2";NA;62332.3;253310.05;24
"30236000-2";20630.68;20630.68;20630.68;NA
"72262000-9";20000;20000;20000;NA
"90711300-7";NA;7650;7650;6
"72200000-7";31855;31855;31855;NA
"30236000-2";10231.11;10231.11;10231.11;NA
"79111000-5";68000;68000;68000;NA
"72263000-6";30677.59;30677.59;30677.59;NA
"64212000-5";39944.78;39944.78;33040.7;NA
"34110000-1";NA;475410.52;NA;60
"30141000-9";16466.2;16466.2;16990.59;NA
"85312320-8";552200;552200;552200;NA
"73200000-4";NA;149476.8;149476.8;10
"80521000-2";50903.52;50903.5;30812.46;NA
"73200000-4";18981.75;18981.75;18981.75;NA
"79212000-3";12398.86;12398.86;12398.86;NA
"72262000-9";13331.97;13331.97;13331.97;NA
"30197630-1";NA;63911.65;NA;24
"34110000-1";12168.78;12168.78;12168.78;NA
"79212000-3";11248.45;11248.45;11248.45;NA
"72250000-2";NA;389280;389280;24
"30213300-8";31844.62;31844.62;31844.62;NA
"32551200-2";43783.57;43783.57;43783.57;NA
"79341200-8";10769.11;10769.11;10769.11;NA
"79212000-3";14380.12;14380.12;14380.12;NA
"09100000-0";NA;2e+06;2733610.51;48
"48311000-1";27789.41;27789.41;27789.41;NA
"60120000-5";19173.49;19173.49;23123.25;NA
"45200000-9";8052867.72;11396175;NA;11
"90711000-4";NA;7200;7200;12
"71320000-7";NA;17268.93;17268.93;6
"90714000-5";23721.58;23721.58;23721.58;NA
"72250000-2";43200;43200;43200;12
"72246000-1";11376.27;11376.27;11376.27;NA
"73210000-7";28817.76;28817.76;28817.76;NA
"90731400-4";NA;NA;NA;9
"30237000-9";23314.97;23314.97;23314.97;NA
"48223000-7";13804.92;13804.92;13804.92;NA
"72260000-5";NA;NA;NA;NA
"72150000-1";16297.47;16297.47;16297.47;NA
"79311000-7";NA;500668;500667.96;49
"60100000-9";15977.91;15977.91;15426.58;NA
"45400000-1";78454.68;78454.68;82979.68;NA
"45200000-9";1253502.74;1253502.74;NA;NA
"72262000-9";196695.64;209656.92;213105.97;NA
"33651600-4";30317.13;30317.13;27753;NA
"64110000-0";20902.94;20902.94;21367.35;NA
"73110000-6";26523.33;26523.33;26523.33;NA
"72262000-9";39545.27;39545.27;38346.93;NA
"48326000-9";18799.08;18799.08;18799.08;NA
"72720000-3";3579.05;42948.63;42948.63;NA
"72200000-7";26740.63;26740.63;26740.63;NA
"48442000-8";44625.03;44625.03;44625.03;1
"72410000-7";NA;NA;NA;NA
"79341000-6";21157.9;21157.91;21157.91;NA
"66512200-4";73112;73112;77327;24
"79315000-5";33131.8;33131.8;34512.29;NA
"64110000-0";160482.15;160482.15;152210.96;3
"45200000-9";NA;680703.6;680703.6;8
"72262000-9";104124.86;104124.86;104124;NA
"48621000-7";17198.62;17198.62;17198.62;0
"34110000-1";NA;NA;NA;NA
"90521000-5";40927.93;40927.93;21231.43;NA
"33600000-6";6929396.45;2522785.94;2522784.01;20
"15229000-9";246236;738708;70639.26;12
"72250000-2";31773.25;31773.25;31773.25;NA
"48517000-5";21792.97;21792.93;21792.93;NA
"30197600-2";NA;NA;NA;NA
"34144000-8";NA;787600;787600;9
"72262000-9";319558.24;319558.24;319965.42;18
"45200000-9";1917349.46;2067037.82;2016050;8
"48820000-2";10739.07;10739.07;10739.07;NA
"34144000-8";NA;390000;390000;8
"73110000-6";31955.82;31955.82;31955.82;NA
"73110000-6";31565.96;31565.96;31565.96;NA
"34110000-1";11909.68;11909.68;10720.37;NA
"72250000-2";NA;NA;NA;NA
"71330000-0";32479.9;32479.9;32479.9;NA
"48771000-3";11454.67;11454.67;11454.67;NA
"30232110-8";14255.43;14255.43;14255.43;NA
"48730000-4";8526.45;8526.45;8526.45;NA
"15130000-8";1060872;1060872;839345.21;12
"45311200-2";40123.73;40123.73;39510.18;NA
"72260000-5";NA;69862.11;219191.66;34
"80561000-4";41421.14;41421.14;40905.44;NA
"30236000-2";35387.82;35387.82;35387.82;NA
"64110000-0";NA;NA;NA;NA
"90510000-5";628464.17;628464.17;628464.17;12
"45110000-1";116651.54;116651.54;124641.54;NA
"79820000-8";9203.28;9203.28;9203.28;NA
"32570000-9";92923.7;92923.7;92923.7;2
"30200000-1";15972.42;15972.42;15972.42;NA
"72262000-9";12462.77;12462.77;12462.77;NA
"45331000-6";58861.99;58861.99;58861.99;NA
"72262000-9";12079.3;12079.3;12079.3;NA
"45443000-4";37679.11;37679.11;37679.11;NA
"73110000-6";25181.19;25181.19;25181.19;NA
"30236000-2";NA;NA;NA;1
"34110000-1";70984.69;70984.69;70984.69;48
"73110000-6";21282.58;21282.58;21282.58;NA
"45110000-1";94589.24;94589.24;94589.24;NA
"92111100-3";31316.71;31316.71;31316.71;NA
"30236000-2";48419.6;48419.6;48419.6;1
"72262000-9";42539.59;42539.59;42539.59;NA
"44113330-7";NA;8328740.54;6401316.33;23
"64110000-0";58450.64;58450.64;75535.03;NA
"80500000-9";13780.89;13780.89;13780.89;NA
"73300000-5";64870.32;64870.32;64870.32;3
"79212500-8";11111.04;11111.04;11111.03;NA
"72262000-9";14763.59;14763.59;14763.59;NA
"79311200-9";17139.24;17139.24;20567.09;NA
"48820000-2";74246.55;74246.55;74246.55;36
"30213300-8";124623.56;124623.56;124623.56;2
"73110000-6";10651.9;10651.9;10651.9;NA
"45216200-6";NA;729493.88;770407.74;7
"35112000-2";189254.21;189254.21;189254.21;NA
"72200000-7";16872.68;16872.68;14341.67;NA
"73110000-6";44738.15;44738.15;44738.15;3
"39310000-8";9267.19;9267.19;18435.48;NA
"73110000-6";13229.71;13229.71;13229.71;NA
"30236000-2";35151.41;35151.41;35151.41;0
"71320000-7";11127.02;11127.02;11127.02;6
"33651400-2";26400.3;26400.3;26399.86;NA
"30200000-1";95549.96;95549.96;95549.96;48
"34110000-1";20575.5;20575.5;20575.5;NA
"98392000-7";4732.53;4732.53;6735;NA
"92111210-7";11706.38;11706.38;11706.38;NA
"48771000-3";NA;184810.34;184810.34;12
"45261900-3";39439.88;39439.88;39657.18;NA
"71320000-7";11759.74;11759.74;11759.74;6
"15800000-6";21729.96;21729.96;21729.96;NA
"75112100-5";54644.46;54644.46;63760.42;NA
"30190000-7";28760.24;28760.24;28760.24;NA
"80521000-2";94710.48;94710.49;92923.09;NA
"34111200-0";24605.98;24605.98;24605.98;NA
"34114400-3";NA;NA;NA;60
"80510000-2";21729.96;21729.96;21729.96;NA
"72260000-5";303580.33;303580.33;286913.64;NA
"80500000-9";47267.01;47267.01;47133.63;NA
"34144710-8";NA;816207.99;680173.33;8
"34114121-3";35790.52;35790.52;35790.52;NA
"72262000-9";31636.27;31636.27;37963.52;NA
"72262000-9";NA;NA;NA;8
"37461000-7";18368.21;18368.21;18368.21;NA
"98113000-8";19173.49;19173.49;19173.49;NA
"73110000-6";23161.58;23161.58;19301.31;NA
"03221000-6";139615.64;139615.63;239861.05;12
"34113000-2";18813.61;18813.61;18813.61;NA
"73110000-6";38679.33;38679.33;38679.33;NA
"30213000-5";80252.28;122860.05;122860.05;36
"45200000-9";328975;328975;321776.61;8
"34960000-4";NA;NA;NA;8
"55120000-7";39037.5;39037.5;40478.63;NA
"79800000-2";16283.53;16283.53;16077.62;NA
"80400000-8";16660;16660;16660;NA
"72210000-0";76693.98;76693.98;76693.98;6
"71700000-5";15839.42;15839.42;15839.42;NA
"72261000-2";32577.37;32577.37;32577.37;NA
"80400000-8";51430;51430;23572;NA
"72262000-9";NA;NA;NA;12
"45200000-9";NA;NA;NA;10
"73110000-6";16450.86;16450.86;9855.18;NA
"72253200-5";23966.87;23966.87;5880.67;NA
"73110000-6";22369.08;22369.08;22369.08;3
"73110000-6";NA;NA;NA;28
"72150000-1";17767.44;17767.44;17767.44;NA
"30141000-9";305978.68;305978.68;298938.05;NA
"44113330-7";NA;NA;NA;NA
"72261000-2";16326.93;16326.93;16326.93;NA
"73110000-6";23966.87;23966.87;23966.87;NA
"30000000-9";12117.65;12117.65;12117.63;NA
"45454000-4";38193.6;38155.25;37275.83;NA
"72262000-9";NA;NA;NA;NA
"71700000-5";48998.95;48998.95;46655.25;NA
"79419000-4";16297.47;16297.47;16297.47;NA
"80400000-8";33322.73;33322.73;33322.73;NA
"72262000-9";19173.49;19173.49;19173.49;NA
"15130000-8";NA;NA;NA;NA
"72260000-5";159779.12;319558.24;NA;NA
"34110000-1";NA;NA;NA;48
"60600000-4";26009.64;26009.64;26009.64;NA
"72262000-9";24112.59;24112.59;20093.82;NA
"90710000-7";4409.9;4409.9;4409.9;3
"79311200-9";13549.27;13549.27;13549.27;NA
"72413000-8";22656.68;22656.68;22656.68;NA
"79111000-5";94517.66;94800;94800;NA
"79970000-4";54815.74;54815.74;54815.74;NA
"72211000-7";19173.49;19173.49;19173.49;NA
"73110000-6";87814.61;87814.61;95931.38;28
"72150000-1";32972.42;32972.42;24373.05;NA
"79341000-6";15954.33;15954.33;15954.33;NA
"72261000-2";17499.27;17499.27;17499.27;NA
"73220000-0";16361.38;16361.38;16361.38;NA
"30200000-1";11389.06;11389.06;11389.06;NA
"79320000-3";11887.57;11887.57;11887.57;NA
"72250000-2";23826.26;23826.26;23826.26;NA
"72200000-7";78688.02;78688.02;74427.28;36
"73110000-6";7982.56;7982.56;7982.56;NA
"79100000-5";96506.59;96506.57;96506.56;NA
"73110000-6";34582.59;34582.59;34582.59;NA
"73200000-4";69237.6;69237.59;69237.59;4
"80500000-9";53520.89;53520.89;51338.95;NA
"73200000-4";18662.2;18662.2;18662.2;3
"34221000-2";NA;250600;250600;5
"71520000-9";408011.96;408011.96;408000;26
"34111100-9";15742.97;15742.97;15742.97;NA
"03221000-6";NA;NA;NA;NA
"72262000-9";15977.91;15977.91;10110.47;NA
"79300000-7";12462.77;12462.77;12462.77;NA
"79341400-0";30151.02;30151.02;30151;NA
"48600000-4";27774.72;27774.72;24259.58;NA
"79340000-9";58637.66;58637.66;54063.72;5
"73110000-6";24925.54;24925.54;24925.54;NA
"79421000-1";35074.71;35074.71;39474.71;NA
"73300000-5";39625.22;39625.22;39625.22;NA
"30211000-1";20982.19;20982.19;20982.19;NA
"34110000-1";332008.23;332008.23;665941.11;60
"30190000-7";39944.78;39944.78;33624.7;NA
"72262000-9";NA;NA;NA;NA
"72210000-0";NA;272804;272804;12
"72210000-0";NA;254580;254580;12
"79421000-1";29108;29108;34663.18;NA
"22472000-9";16443.24;16443.24;16287.75;NA
"45110000-1";39726.2;39726.2;39726.2;NA
"73110000-6";63579.31;52982.76;52982.76;15
"79315000-5";100748.02;100748.02;100748.02;10
"80522000-9";124755.54;124755.54;124755.54;NA
"72260000-5";117171.36;117171.36;117171.36;12
"34110000-1";16248.22;16248.22;16248.22;NA
"30197630-1";149643.81;149643.81;93195.86;24
"72240000-9";99702.19;99702.19;83085.16;12
"34110000-1";NA;NA;NA;48
"72212490-0";452782.07;452782.07;452782.07;NA
"72260000-5";15338.8;15338.8;7669.4;NA
"18143000-3";130799.58;130799.58;130799.58;5
"30190000-7";19173.49;19173.49;12437.5;NA
"79212000-3";53238.4;53238.4;53238.4;4
"73110000-6";14252.3;14252.3;11887.57;NA
"85311300-5";226822.19;226822.19;98164.89;NA
"73110000-6";21474.31;21474.31;17895.26;NA
"30213000-5";NA;NA;NA;48
"85312320-8";401577.34;401577.34;139903.89;NA
"33651400-2";2627962.29;2632436.09;2566387.23;22
"30236000-2";20036.3;20036.3;20036.3;NA
"33651300-1";17079.38;17079.39;17079.37;NA
"35112000-2";NA;NA;NA;3
"32260000-3";19815.57;19815.57;19815.57;NA
"30234500-3";23913.6;23913.6;23913.6;NA
"73110000-6";23008.19;23008.19;21151.43;NA
"73111000-3";12782.33;12782.33;12782.33;NA
"72260000-5";NA;NA;NA;NA
"85312320-8";192322.98;192322.98;166402.49;NA
"30213000-5";73579.18;294316.72;140420;36
"30197630-1";NA;NA;NA;NA
"45331000-6";17124.36;17124.36;16811.19;NA
"30237000-9";13632.35;13632.35;13632.35;NA
"30236000-2";11695.19;11695.19;11695.19;NA
"71520000-9";27635.4;27635.4;27635.4;NA
"72200000-7";10526.09;10526.09;10526.09;NA
"48800000-6";27302.74;27302.74;27302.74;NA
"73300000-5";15908.68;15908.68;15908.68;NA
"33651400-2";16261.89;16261.89;16261.89;NA
"45331000-6";35335.47;35335.47;35335.47;NA
"72222300-0";16105.74;16105.74;15338.8;NA
"73110000-6";75602.3;75602.3;63001.67;12
"72262000-9";345174.03;345174.03;345174.03;NA
"34114400-3";204381.87;204381.86;195387.55;60
"30192000-1";27967.74;27967.74;28808.45;NA
"30200000-1";87357.64;87357.64;142945.6;12
"79970000-4";NA;331196;289631;36
"72262000-9";NA;818068.73;NA;48
"34221000-2";NA;NA;NA;5
"79311200-9";15850.09;15850.09;15850.09;NA
"48442000-8";10391.39;10391.39;10391.39;NA
"30231100-8";99598.76;99598.76;99598.76;36
"33651300-1";162804.95;162804.96;162797.08;16
"73110000-6";11078;11078;11078;NA
"73220000-0";2556.47;29297.18;24605.96;NA
"79313000-1";10609.33;10609.33;10609.33;NA
"72262000-9";NA;124627.71;99316.29;36
"73220000-0";11504.1;11504.14;11504.14;NA
"30213100-6";110514.62;110514.62;123904;36
"48820000-2";27310.73;27310.73;27310.73;NA
"72600000-6";22369.08;22369.08;14790;NA
"48900000-7";33770.15;33770.15;33770.15;NA
"72260000-5";20323.65;20323.65;20323.65;NA
"90700000-4";103164.07;103164.07;103164.07;NA
"48626000-2";9790.56;9790.56;9790.56;NA
"72261000-2";20558.27;20558.27;20558.27;NA
"72261000-2";76176.93;76176.93;76176.93;NA
"32420000-3";15211.8;15211.8;15211.8;NA
"72250000-2";7968.95;7968.95;7968.95;NA
"33141850-3";36466.96;12421.23;36466.96;NA
"71240000-2";NA;17806;17806;3
"72200000-7";NA;340960.43;314816.74;15
"72212490-0";59758.61;59758.61;59758.61;8
"72262000-9";62216.71;62216.71;74660.05;12
"98392000-7";17895.26;17895.26;170861.77;24
"73110000-6";10545.42;10545.42;10545.42;NA
"73300000-5";559226.92;559226.92;559226.92;NA
"39112000-0";17253.08;17253.08;17253.08;NA
"33100000-1";95650.81;95650.81;95646.2;0
"72230000-6";42181.69;42181.69;42181.69;5
"71240000-2";22177.34;22177.34;22177.34;NA
"45233120-6";530042.18;530042.18;529695.4;8
"73200000-4";39412.18;39412.18;39412.18;NA
"73110000-6";21303.88;21303.88;21303.88;NA
"45213220-1";870344.8;870344.8;870344.8;7
"79970000-4";17924.09;17924.09;17924.09;NA
"71320000-7";33489.7;33489.7;36838.67;3
"72262000-9";182148.2;182148.2;80907.67;36
"72262000-9";117035.01;117035.01;117034.71;12
"72262000-9";74853.32;74853.32;74853.32;12
"73200000-4";10609.33;10609.33;12742.15;NA
"39120000-9";13478.97;13478.97;13478.97;NA
"90731000-0";95867.47;95867.47;95867.47;20
"72212000-4";29718.92;29718.92;29718.92;NA
"72320000-4";25274.5;25274.5;25274.5;NA
